Date,Open,High,Low,Close,Adj Close,Volume
2020-04-16,26.200001,27.469999,25.900000,27.280001,27.280001,5000856
2020-04-17,28.600000,30.360001,28.600000,29.000000,29.000000,5875612
2020-04-20,28.799999,29.629999,28.080000,29.000000,29.000000,4022044
2020-04-21,28.450001,29.030001,27.190001,27.320000,27.320000,4544126
2020-04-22,26.500000,27.129999,25.670000,26.570000,26.570000,4607128
2020-04-23,27.250000,27.650000,26.600000,27.150000,27.150000,3441190
2020-04-24,27.000000,27.580000,26.850000,27.010000,27.010000,2364336
2020-04-27,27.299999,27.980000,26.950001,27.750000,27.750000,2490798
2020-04-28,27.990000,28.500000,27.900000,28.309999,28.309999,2123047
2020-04-29,28.379999,28.430000,27.715000,28.150000,28.150000,3607748
2020-04-30,28.889999,31.450001,28.760000,31.200001,31.200001,5934586
2020-05-01,29.750000,30.309999,28.799999,29.160000,29.160000,4389812
2020-05-04,38.000000,39.590000,32.500000,36.099998,36.099998,10338198
2020-05-05,36.900002,38.180000,36.480000,38.180000,38.180000,4142140
2020-05-06,38.509998,39.950001,38.509998,39.799999,39.799999,2881542
2020-05-07,39.209999,39.730000,38.520000,39.500000,39.500000,2356639
2020-05-08,39.279999,40.000000,39.130001,39.880001,39.880001,2767830
2020-05-11,39.900002,43.680000,39.840000,42.169998,42.169998,3677206
2020-05-12,42.500000,43.180000,40.700001,41.680000,41.680000,3852252
2020-05-13,40.490002,43.500000,39.700001,43.459999,43.459999,4676501
2020-05-14,41.959999,43.599998,41.529999,41.650002,41.650002,2504456
2020-05-15,42.400002,42.669998,40.759998,41.200001,41.200001,2941144
2020-05-18,42.360001,42.599998,41.500000,42.310001,42.310001,1922681
2020-05-19,43.099998,43.330002,41.709999,42.000000,42.000000,2347223
2020-05-20,41.750000,43.400002,41.680000,42.889999,42.889999,2140591
2020-05-21,44.200001,45.169998,43.680000,44.000000,44.000000,3316651
2020-05-22,44.250000,45.040001,44.110001,44.509998,44.509998,2729757
2020-05-25,45.020000,49.000000,45.020000,48.500000,48.500000,3365690
2020-05-26,49.000000,50.009998,48.520000,49.110001,49.110001,3639200
2020-05-27,48.480000,48.599998,44.869999,45.250000,45.250000,5796090
2020-05-28,46.500000,46.900002,45.380001,46.090000,46.090000,3539499
2020-05-29,46.849998,47.570000,46.150002,47.410000,47.410000,24439242
2020-06-01,46.529999,48.099998,46.529999,47.750000,47.750000,2732777
2020-06-02,48.220001,49.520000,48.020000,49.520000,49.520000,3449017
2020-06-03,50.119999,52.290001,50.020000,52.259998,52.259998,2924104
2020-06-04,53.500000,53.810001,51.919998,52.200001,52.200001,3448569
2020-06-05,51.990002,52.410000,50.150002,50.610001,50.610001,2856264
2020-06-09,51.250000,51.580002,50.389999,50.700001,50.700001,2949883
2020-06-10,50.689999,54.849998,50.560001,54.520000,54.520000,3581421
2020-06-11,52.599998,53.639999,51.840000,52.099998,52.099998,2721178
2020-06-12,49.000000,52.650002,47.090000,51.860001,51.860001,4254124
2020-06-15,52.000000,54.630001,51.040001,51.160000,51.160000,3108059
2020-06-16,53.709999,57.070000,53.599998,56.520000,56.520000,3606092
2020-06-17,57.000000,58.459999,56.349998,57.730000,57.730000,2769552
2020-06-18,58.430000,59.639999,57.650002,57.840000,57.840000,2422807
2020-06-19,58.000000,58.990002,56.950001,58.689999,58.689999,4301340
2020-06-22,57.709999,58.790001,56.740002,57.939999,57.939999,1447243
2020-06-23,58.180000,59.599998,56.849998,59.169998,59.169998,1906196
2020-06-24,60.060001,62.330002,59.330002,59.380001,59.380001,2644823
2020-06-25,57.860001,58.790001,56.009998,56.919998,56.919998,2870206
2020-06-26,58.299999,58.860001,56.290001,57.000000,57.000000,2299450
2020-06-29,55.439999,58.000000,55.299999,56.900002,56.900002,1564394
2020-06-30,58.270000,61.299999,57.439999,60.990002,60.990002,3256850
2020-07-01,60.490002,63.900002,59.660000,62.240002,62.240002,2559434
2020-07-02,64.199997,68.620003,63.910000,68.160004,68.160004,2818784
2020-07-03,68.269997,70.000000,66.580002,67.500000,67.500000,2563465
2020-07-06,67.699997,68.800003,67.550003,68.000000,68.000000,1407381
2020-07-07,68.000000,68.000000,68.000000,68.000000,68.000000,0
2020-07-08,66.500000,67.500000,65.309998,66.000000,66.000000,8083523
2020-07-09,68.000000,75.260002,66.910004,73.500000,73.500000,5272236
2020-07-10,73.510002,76.620003,72.010002,72.309998,72.309998,3558277
2020-07-13,74.209999,75.000000,69.070000,71.739998,71.739998,3328978
2020-07-14,68.800003,69.889999,65.550003,66.550003,66.550003,3460584
2020-07-15,69.010002,70.489998,67.660004,68.160004,68.160004,3361154
2020-07-16,69.500000,69.589996,67.209999,67.440002,67.440002,2626181
2020-07-17,67.250000,69.059998,66.160004,67.370003,67.370003,2700416
2020-07-20,67.370003,69.769997,67.370003,69.489998,69.489998,2156609
2020-07-21,71.470001,75.650002,71.320000,75.050003,75.050003,2870504
2020-07-22,74.339996,75.000000,71.750000,72.500000,72.500000,1723097
2020-07-23,71.760002,73.269997,71.139999,72.000000,72.000000,1509783
2020-07-24,70.610001,70.940002,69.260002,69.809998,69.809998,1847158
2020-07-27,69.230003,71.839996,68.699997,70.269997,70.269997,1626068
2020-07-28,71.430000,71.620003,68.510002,68.570000,68.570000,1510683
2020-07-29,68.029999,68.320000,66.779999,67.769997,67.769997,1603335
2020-07-30,68.410004,70.279999,68.220001,68.820000,68.820000,1501679
2020-07-31,69.449997,70.139999,68.129997,68.540001,68.540001,1309505
2020-08-03,68.500000,68.720001,65.529999,66.500000,66.500000,2182769
2020-08-04,68.500000,71.519997,67.910004,70.800003,70.800003,2127951
2020-08-05,70.129997,71.320000,69.660004,71.000000,71.000000,1163828
2020-08-06,71.400002,72.400002,70.720001,71.260002,71.260002,1089883
2020-08-07,71.250000,71.419998,70.180000,70.699997,70.699997,2626875
2020-08-10,70.000000,73.010002,69.599998,72.540001,72.540001,1616583
2020-08-11,72.000000,72.349998,69.699997,70.180000,70.180000,5252392
2020-08-12,69.709999,71.790001,69.000000,71.050003,71.050003,1729222
2020-08-13,71.949997,74.250000,71.050003,71.290001,71.290001,1950561
2020-08-14,71.099998,75.800003,71.099998,75.800003,75.800003,1957534
2020-08-17,75.750000,75.800003,73.660004,73.779999,73.779999,1394682
2020-08-18,74.639999,76.339996,74.110001,75.000000,75.000000,1508494
2020-08-19,76.349998,77.000000,74.900002,74.900002,74.900002,2027639
2020-08-20,80.769997,82.000000,79.080002,79.980003,79.980003,3070706
2020-08-21,81.500000,82.000000,78.900002,78.949997,78.949997,2199838
2020-08-24,81.389999,83.000000,80.650002,82.730003,82.730003,1965325
2020-08-25,85.000000,93.500000,84.919998,92.480003,92.480003,2799172
2020-08-26,91.660004,92.190002,88.970001,90.720001,90.720001,3370009
2020-08-27,93.989998,95.970001,85.019997,91.260002,91.260002,3546928
2020-08-28,90.599998,91.260002,86.610001,88.750000,88.750000,2694627
2020-08-31,88.000000,93.260002,87.440002,91.440002,91.440002,2407904
2020-09-01,89.080002,90.510002,82.599998,84.089996,84.089996,6263238
2020-09-02,83.690002,83.919998,73.680000,82.500000,82.500000,5412950
2020-09-03,84.360001,86.480003,82.169998,83.790001,83.790001,2525735
2020-09-04,77.019997,80.849998,76.129997,78.199997,78.199997,2986669
2020-09-07,76.550003,77.800003,74.559998,76.349998,76.349998,2457661
2020-09-08,77.150002,77.750000,74.760002,75.040001,75.040001,1770690
2020-09-09,70.699997,74.930000,70.059998,74.050003,74.050003,3468179
2020-09-10,76.790001,77.599998,75.160004,75.629997,75.629997,2238387
2020-09-11,73.790001,75.040001,72.800003,73.870003,73.870003,2088194
2020-09-14,73.849998,75.000000,70.209999,72.580002,72.580002,2583561
2020-09-15,73.980003,75.790001,73.500000,75.010002,75.010002,1913901
2020-09-16,75.849998,78.379997,75.550003,78.029999,78.029999,2159905
2020-09-17,77.519997,77.745003,73.839996,73.839996,73.839996,2511269
2020-09-18,74.029999,76.660004,74.029999,75.800003,75.800003,3039259
2020-09-21,76.300003,76.430000,74.510002,74.860001,74.860001,1138413
2020-09-22,74.309998,76.769997,74.010002,76.540001,76.540001,1248040
2020-09-23,77.879997,81.080002,77.709999,78.730003,78.730003,2611296
2020-09-24,75.690002,76.300003,73.820000,74.139999,74.139999,1779823
2020-09-25,75.250000,76.000000,72.769997,75.949997,75.949997,1542943
2020-09-28,76.500000,80.300003,75.980003,79.800003,79.800003,1370956
2020-09-29,81.010002,82.699997,81.010002,81.779999,81.779999,1772902
2020-09-30,80.879997,81.610001,79.900002,79.989998,79.989998,1721906
2020-10-01,81.849998,82.889999,80.320000,80.449997,80.449997,1302371
2020-10-02,81.620003,83.440002,79.040001,79.650002,79.650002,1764322
2020-10-05,81.010002,82.279999,78.589996,79.519997,79.519997,1340788
2020-10-06,81.239998,84.199997,79.639999,83.480003,83.480003,1412123
2020-10-07,83.449997,85.839996,82.570000,84.839996,84.839996,1071845
2020-10-08,85.900002,87.370003,85.309998,87.050003,87.050003,1485953
2020-10-09,87.900002,89.510002,87.199997,89.510002,89.510002,1384184
2020-10-12,89.879997,92.169998,89.029999,92.000000,92.000000,1824057
2020-10-13,93.940002,96.080002,93.400002,94.459999,94.459999,2813792
2020-10-14,96.110001,98.680000,94.900002,96.089996,96.089996,2210539
2020-10-15,96.699997,96.699997,94.150002,95.000000,95.000000,1493382
2020-10-16,94.699997,97.160004,94.360001,96.720001,96.720001,1722064
2020-10-19,97.010002,98.300003,96.849998,97.540001,97.540001,907994
2020-10-20,98.699997,105.800003,98.379997,101.940002,101.940002,2632273
2020-10-21,103.150002,104.419998,99.540001,101.320000,101.320000,2399826
2020-10-22,99.000000,101.419998,97.900002,101.059998,101.059998,1341883
2020-10-23,101.889999,102.639999,100.709999,102.129997,102.129997,1172928
2020-10-26,102.510002,105.400002,100.760002,100.760002,100.760002,1301330
2020-10-27,98.019997,98.500000,95.599998,95.980003,95.980003,1661197
2020-10-28,95.900002,103.800003,95.599998,102.970001,102.970001,1969937
2020-10-29,100.010002,100.339996,97.620003,99.550003,99.550003,1511549
2020-10-30,100.669998,102.000000,96.370003,96.690002,96.690002,1572818
2020-11-02,96.500000,98.769997,95.769997,98.269997,98.269997,1025633
2020-11-03,99.699997,101.900002,98.870003,99.129997,99.129997,1231196
2020-11-04,101.000000,101.889999,97.099998,100.750000,100.750000,2466615
2020-11-05,103.400002,104.370003,102.260002,103.250000,103.250000,1557017
2020-11-06,104.940002,105.199997,99.279999,100.500000,100.500000,1356126
2020-11-09,102.000000,105.000000,101.980003,104.529999,104.529999,2469392
2020-11-10,101.900002,101.900002,91.620003,93.180000,93.180000,4229212
2020-11-11,93.449997,96.099998,89.269997,96.040001,96.040001,2776280
2020-11-12,98.900002,101.269997,98.580002,99.230003,99.230003,2774728
2020-11-13,99.199997,102.800003,98.750000,101.849998,101.849998,2549986
2020-11-16,102.989998,103.500000,101.199997,101.400002,101.400002,163718
2020-11-17,102.500000,103.239998,95.400002,95.930000,95.930000,2432091
2020-11-18,96.099998,96.650002,93.010002,94.690002,94.690002,1602127
2020-11-19,94.449997,97.980003,93.180000,97.889999,97.889999,1681885
2020-11-20,98.980003,99.769997,97.150002,97.589996,97.589996,1389804
2020-11-23,97.599998,99.949997,96.889999,98.699997,98.699997,828221
2020-11-24,99.000000,101.470001,98.930000,101.139999,101.139999,1304932
2020-11-25,101.400002,101.889999,95.220001,95.220001,95.220001,1917867
2020-11-26,96.830002,97.449997,95.449997,95.809998,95.809998,1247239
2020-11-27,95.730003,96.370003,93.370003,94.699997,94.699997,1048358
2020-11-30,97.190002,98.339996,94.779999,95.010002,95.010002,2306888
2020-12-01,95.800003,98.620003,94.809998,98.300003,98.300003,1378140
2020-12-02,99.699997,100.790001,97.680000,98.559998,98.559998,1831098
2020-12-03,100.489998,100.989998,96.099998,96.199997,96.199997,1662426
2020-12-04,97.480003,97.480003,94.500000,94.500000,94.500000,1084217
2020-12-07,96.989998,97.190002,94.629997,96.599998,96.599998,1177043
2020-12-08,97.000000,97.599998,95.519997,95.680000,95.680000,1085604
2020-12-09,96.680000,98.650002,96.000000,98.449997,98.449997,1404428
2020-12-10,97.610001,97.949997,95.610001,96.180000,96.180000,1142144
2020-12-11,97.190002,101.800003,96.500000,101.010002,101.010002,2078843
2020-12-14,101.010002,111.660004,101.010002,109.930000,109.930000,2491236
2020-12-15,110.019997,113.050003,107.449997,110.000000,110.000000,1803193
2020-12-16,115.000000,116.070000,113.000000,114.599998,114.599998,1668292
2020-12-17,115.790001,120.769997,115.769997,120.309998,120.309998,1793383
2020-12-18,120.349998,123.400002,111.290001,111.290001,111.290001,6195376
2020-12-21,112.949997,117.000000,111.290001,112.150002,112.150002,1158241
2020-12-22,112.279999,114.449997,109.529999,113.290001,113.290001,999734
